wave,donor,module,surfaces,high_signal_surfaces,ui_product_surfaces,bytes
234,dns_blocklists,domains/doh.txt,1,0,0,70605
234,dns_blocklists,domains/light.txt,1,0,0,2056376
234,dns_blocklists,domains/multi.txt,1,0,0,10047346
234,dns_blocklists,domains/native.amazon.txt,1,0,0,26283
234,dns_blocklists,domains/native.apple.txt,1,0,0,3647
234,dns_blocklists,domains/native.huawei.txt,1,0,0,6704
234,dns_blocklists,domains/native.lgwebos.txt,1,0,0,38177
234,dns_blocklists,domains/native.oppo-realme.txt,1,0,0,16871
234,dns_blocklists,domains/native.roku.txt,1,0,0,4672
234,dns_blocklists,domains/native.samsung.txt,1,0,0,8248
234,dns_blocklists,domains/native.tiktok.extended.txt,1,0,0,17906
234,dns_blocklists,domains/native.tiktok.txt,1,0,0,12820
234,dns_blocklists,domains/native.vivo.txt,1,0,0,7280
234,dns_blocklists,domains/native.winoffice.txt,1,0,0,25387
234,dns_blocklists,domains/native.xiaomi.txt,1,0,0,12387
234,dns_blocklists,domains/pro.plus.txt,1,0,0,14029451
234,dns_blocklists,domains/pro.txt,1,0,0,13129361
234,dns_blocklists,domains/tif.txt,1,0,0,33098459
234,dns_blocklists,domains/ultimate.txt,1,0,0,14932546
234,dns_blocklists,domains/whitelist-referral.txt,1,0,0,49974
234,dns_blocklists,hosts/doh-compressed.txt,1,0,0,74089
234,dns_blocklists,hosts/doh.txt,1,0,0,101723
234,dns_blocklists,hosts/light-compressed.txt,1,0,0,2138549
234,dns_blocklists,hosts/light.txt,1,0,0,2795678
234,dns_blocklists,hosts/multi-compressed.txt,1,0,0,10370734
234,dns_blocklists,hosts/multi.txt,1,0,0,12957640
234,dns_blocklists,hosts/native.amazon-compressed.txt,1,0,0,26935
234,dns_blocklists,hosts/native.amazon.txt,1,0,0,31929
234,dns_blocklists,hosts/native.apple-compressed.txt,1,0,0,3771
234,dns_blocklists,hosts/native.apple.txt,1,0,0,4541
234,dns_blocklists,hosts/native.huawei-compressed.txt,1,0,0,6876
234,dns_blocklists,hosts/native.huawei.txt,1,0,0,8030
234,dns_blocklists,hosts/native.lgwebos-compressed.txt,1,0,0,39701
234,dns_blocklists,hosts/native.lgwebos.txt,1,0,0,51703
234,dns_blocklists,hosts/native.oppo-realme-compressed.txt,1,0,0,17387
234,dns_blocklists,hosts/native.oppo-realme.txt,1,0,0,21293
234,dns_blocklists,hosts/native.roku-compressed.txt,1,0,0,4836
234,dns_blocklists,hosts/native.roku.txt,1,0,0,5942
234,dns_blocklists,hosts/native.samsung-compressed.txt,1,0,0,8516
234,dns_blocklists,hosts/native.samsung.txt,1,0,0,10430
234,dns_blocklists,hosts/native.tiktok-compressed.txt,1,0,0,13224
234,dns_blocklists,hosts/native.tiktok.extended-compressed.txt,1,0,0,18446
234,dns_blocklists,hosts/native.tiktok.extended.txt,1,0,0,22536
234,dns_blocklists,hosts/native.tiktok.txt,1,0,0,16218
234,dns_blocklists,hosts/native.vivo-compressed.txt,1,0,0,7508
234,dns_blocklists,hosts/native.vivo.txt,1,0,0,9126
234,dns_blocklists,hosts/native.winoffice-compressed.txt,1,0,0,26071
234,dns_blocklists,hosts/native.winoffice.txt,1,0,0,31321
234,dns_blocklists,hosts/native.xiaomi-compressed.txt,1,0,0,12831
234,dns_blocklists,hosts/native.xiaomi.txt,1,0,0,16153
234,dns_blocklists,hosts/pro-compressed.txt,1,0,0,13579093
234,dns_blocklists,hosts/pro.plus-compressed.txt,1,0,0,14515431
234,dns_blocklists,hosts/pro.plus.txt,1,0,0,18403057
234,dns_blocklists,hosts/pro.txt,1,0,0,17176743
234,dns_blocklists,hosts/tif-compressed.txt,1,0,0,34718007
234,dns_blocklists,hosts/tif.txt,1,0,0,47674193
234,dns_blocklists,hosts/ultimate-compressed.txt,1,0,0,15457630
234,dns_blocklists,hosts/ultimate.txt,1,0,0,19658120
234,dns_blocklists,index.html,1,1,1,157
234,dns_blocklists,ips/doh.txt,1,0,0,20041
234,dns_blocklists,ips/nameserver.txt,1,0,0,1384479
234,dns_blocklists,ips/tif.txt,1,0,0,740013
234,dns_blocklists,rpz/anti.piracy.txt,1,0,0,1630062
234,dns_blocklists,rpz/doh-vpn-proxy-bypass.txt,1,0,0,948652
234,dns_blocklists,rpz/doh.txt,1,0,0,184420
234,dns_blocklists,rpz/dyndns.txt,1,0,0,66958
234,dns_blocklists,rpz/fake.txt,1,0,0,882625
234,dns_blocklists,rpz/gambling.medium.txt,1,0,0,7531583
234,dns_blocklists,rpz/gambling.mini.txt,1,0,0,6242757
234,dns_blocklists,rpz/gambling.txt,1,0,0,13562040
234,dns_blocklists,rpz/hoster.txt,1,0,0,50200
234,dns_blocklists,rpz/light.txt,1,0,0,2479751
234,dns_blocklists,rpz/multi.txt,1,0,0,8688629
234,dns_blocklists,rpz/native.amazon.txt,1,0,0,27553
234,dns_blocklists,rpz/native.apple.txt,1,0,0,8439
234,dns_blocklists,rpz/native.huawei.txt,1,0,0,13045
234,dns_blocklists,rpz/native.lgwebos.txt,1,0,0,23381
234,dns_blocklists,rpz/native.oppo-realme.txt,1,0,0,36669
234,dns_blocklists,rpz/native.roku.txt,1,0,0,6169
234,dns_blocklists,rpz/native.samsung.txt,1,0,0,15449
234,dns_blocklists,rpz/native.tiktok.extended.txt,1,0,0,45541
234,dns_blocklists,rpz/native.tiktok.txt,1,0,0,32658
234,dns_blocklists,rpz/native.vivo.txt,1,0,0,17949
234,dns_blocklists,rpz/native.winoffice.txt,1,0,0,31865
234,dns_blocklists,rpz/native.xiaomi.txt,1,0,0,24373
234,dns_blocklists,rpz/nosafesearch.txt,1,0,0,11173
234,dns_blocklists,rpz/nsfw.txt,1,0,0,5596989
234,dns_blocklists,rpz/popupads.txt,1,0,0,3026149
234,dns_blocklists,rpz/pro.mini.txt,1,0,0,4453829
234,dns_blocklists,rpz/pro.plus.mini.txt,1,0,0,5082863
234,dns_blocklists,rpz/pro.plus.txt,1,0,0,13887763
234,dns_blocklists,rpz/pro.txt,1,0,0,12814384
234,dns_blocklists,rpz/social.txt,1,0,0,44220
234,dns_blocklists,rpz/spam-tlds-rpz-aggressive.txt,1,0,0,9190
234,dns_blocklists,rpz/spam-tlds-rpz.txt,1,0,0,3213
234,dns_blocklists,rpz/tif-ips.txt,1,0,0,1516521
