donor,path,sha256,language,kind,symbol,line,snippet
Hiddify-Manager-dev,common/google-bbr.sh,c8b22a3704ff38211bf8ce23647e22e1a7fe4ffc384a978ac0f575ea170cca91,shell,function,install_kernel,264,install_kernel() {
Hiddify-Manager-dev,common/google-bbr.sh,c8b22a3704ff38211bf8ce23647e22e1a7fe4ffc384a978ac0f575ea170cca91,shell,function,reboot_os,321,reboot_os() {
Hiddify-Manager-dev,common/google-bbr.sh,c8b22a3704ff38211bf8ce23647e22e1a7fe4ffc384a978ac0f575ea170cca91,shell,function,install_bbr,333,install_bbr() {
Hiddify-Manager-dev,common/hiddify_installer.sh,7c9666df625d76e80e620b43e44017525b566c7264cc795500301ab47d4767c1,shell,function,install_panel,37,function install_panel() {
Hiddify-Manager-dev,common/hiddify_installer.sh,7c9666df625d76e80e620b43e44017525b566c7264cc795500301ab47d4767c1,shell,function,update_panel,78,function update_panel() {
Hiddify-Manager-dev,common/hiddify_installer.sh,7c9666df625d76e80e620b43e44017525b566c7264cc795500301ab47d4767c1,shell,function,update_config,184,function update_config() {
Hiddify-Manager-dev,common/hiddify_installer.sh,7c9666df625d76e80e620b43e44017525b566c7264cc795500301ab47d4767c1,shell,function,post_update_tasks,247,function post_update_tasks() {
Hiddify-Manager-dev,common/hiddify_installer.sh,7c9666df625d76e80e620b43e44017525b566c7264cc795500301ab47d4767c1,shell,function,update_from_github,282,function update_from_github() {
Hiddify-Manager-dev,common/hiddify_installer.sh,7c9666df625d76e80e620b43e44017525b566c7264cc795500301ab47d4767c1,shell,function,custom_version_installer,318,function custom_version_installer(){
Hiddify-Manager-dev,common/hiddify_installer.sh,7c9666df625d76e80e620b43e44017525b566c7264cc795500301ab47d4767c1,shell,function,version_gt,321,version_gt() {
Hiddify-Manager-dev,common/jinja.py,7eebb884ea5191e71500fe457045f8812b1991c910c94e5502d222a1c91f91b8,python,function,exec,20,def exec(command):
Hiddify-Manager-dev,common/jinja.py,7eebb884ea5191e71500fe457045f8812b1991c910c94e5502d222a1c91f91b8,python,function,b64encode,33,def b64encode(s):
Hiddify-Manager-dev,common/jinja.py,7eebb884ea5191e71500fe457045f8812b1991c910c94e5502d222a1c91f91b8,python,function,render,40,def render(template_path):
Hiddify-Manager-dev,common/jinja.py,7eebb884ea5191e71500fe457045f8812b1991c910c94e5502d222a1c91f91b8,python,function,render_j2_templates,86,def render_j2_templates(*start_paths):
Hiddify-Manager-dev,common/package_manager.sh,d674f9ab8046ab4957fcaa56f01f679d0bb4c4ec6dc7b3039f2913c56b7cf974,shell,function,generate_hash,14,generate_hash() {
Hiddify-Manager-dev,common/package_manager.sh,d674f9ab8046ab4957fcaa56f01f679d0bb4c4ec6dc7b3039f2913c56b7cf974,shell,function,add_package,20,add_package() {
Hiddify-Manager-dev,common/package_manager.sh,d674f9ab8046ab4957fcaa56f01f679d0bb4c4ec6dc7b3039f2913c56b7cf974,shell,function,download_package,65,download_package() {
Hiddify-Manager-dev,common/package_manager.sh,d674f9ab8046ab4957fcaa56f01f679d0bb4c4ec6dc7b3039f2913c56b7cf974,shell,function,get_latest_version,132,get_latest_version() {
