donor,directory,descendant_surfaces,direct_surfaces,tree_sha256,semantic_record_ids
libkcp-master,.,29,29,da658de96b20113a040beea4e4c69fe68ff4f52d8ac7dc25dbe1080d12f2eca0,BASE10;LIBKCP001;LIBKCP002;LIBKCP003
libXray-main,.,62,10,170edf1d1fa6068db8f9bc45480365db67a95ea5e30ff25c2bdc506a565b3ac9,BASE11;LIBXRAY001;LIBXRAY002;LIBXRAY003;LIBXRAY004;LIBXRAY005
libXray-main,.github,2,0,9b93e3b6806ce48e854ced479c80ce71130884524f22d00ca5f049472e217000,BASE11
libXray-main,.github/workflows,2,2,9b93e3b6806ce48e854ced479c80ce71130884524f22d00ca5f049472e217000,BASE11
libXray-main,build,11,2,67d6a5717b6981658810f51fbe4afc719c720960f82d1534687b0ce8d4cd4d9f,BASE11;LIBXRAY003
libXray-main,build/app,8,8,f39d0d2480fe61459692696bff209cdd250625b505baaa05939591d7b4a3125e,BASE11;LIBXRAY003
libXray-main,build/template,1,1,a7a51a66542291f7f6937ae649b38cd95f71aba650b70d40da8468d86f397a54,BASE11;LIBXRAY003
libXray-main,controller,2,2,aa39632478c8c807078fb1757a5be5b1f0388cf026e97c7b14c06832fea5a147,BASE11;LIBXRAY005
libXray-main,desktop_bin,6,6,2920e0689afeeb8fa3b11142a9cade9f84ac77d584fb50f6ef3a03488fb52180,BASE11;LIBXRAY005
libXray-main,dns,5,5,48a34ab7613a85539c5a4685ebbae31fcc2538e90b41ce13bd856809bb40d37a,BASE11;LIBXRAY005
libXray-main,download_geo,1,1,5e8d363bdcd9e77224beea282022ff74dd9a5ad9c388c2db13d258790a9c6e35,BASE11;LIBXRAY005
libXray-main,geo,2,2,40142de8e3f5703011f70c69c9209101c0abb5f1179470e4209b96d9e758762e,BASE11;LIBXRAY005
libXray-main,memory,2,2,755ced9a671fe97826f6a3eca4bbcfe6c952b25ffe3a43c206fbe8f06e47fa16,BASE11;LIBXRAY005
libXray-main,nodep,4,4,f990c35e6146fae062e66e544e1cc4865917352200e7bb888ab2a0fc55cd2a81,BASE11;LIBXRAY001;LIBXRAY002
libXray-main,readme,1,1,d6ea48578cfd4472d407906408ceba3665315e6f720822ff56265ff4295da222,BASE11
libXray-main,scripts,1,1,c63d2c98075036d4d77d3cd705419349f10851d3c7bbcadad7ef108b7ba57c26,BASE11;LIBXRAY003
libXray-main,share,11,11,a13c05f39aea12dc9b01cd5869255d7e685a6ef5ca9a6ac0b987572ebd9fea56,BASE11;LIBXRAY004
libXray-main,xray,4,4,a6451494516a0202bf0c28412ffa453d2daaa9ced50b3fe0dec91fc37eb79868,BASE11;LIBXRAY001
