donor,path,line,kind,symbol,surface_sha256,semantic_record_ids
JJTcpOverHttpRelayVpn-python_testing_tcp_relay,scripts/benchmark_transport.py,388,function,_tls_connect_time,52b1e12a412f5f1a4faac39e8548c9b351c48c52fc44ac3513b347b313ab1e36,BASE04;JJ005
JJTcpOverHttpRelayVpn-python_testing_tcp_relay,scripts/benchmark_transport.py,417,function,_suite_resumption,52b1e12a412f5f1a4faac39e8548c9b351c48c52fc44ac3513b347b313ab1e36,BASE04;JJ005
JJTcpOverHttpRelayVpn-python_testing_tcp_relay,scripts/benchmark_transport.py,443,function,_fmt,52b1e12a412f5f1a4faac39e8548c9b351c48c52fc44ac3513b347b313ab1e36,BASE04;JJ005
JJTcpOverHttpRelayVpn-python_testing_tcp_relay,scripts/benchmark_transport.py,466,function,_h2_concurrent,52b1e12a412f5f1a4faac39e8548c9b351c48c52fc44ac3513b347b313ab1e36,BASE04;JJ005
JJTcpOverHttpRelayVpn-python_testing_tcp_relay,scripts/benchmark_transport.py,550,function,_h1_parallel,52b1e12a412f5f1a4faac39e8548c9b351c48c52fc44ac3513b347b313ab1e36,BASE04;JJ005
JJTcpOverHttpRelayVpn-python_testing_tcp_relay,scripts/benchmark_transport.py,561,function,_suite_concurrency,52b1e12a412f5f1a4faac39e8548c9b351c48c52fc44ac3513b347b313ab1e36,BASE04;JJ005
JJTcpOverHttpRelayVpn-python_testing_tcp_relay,scripts/benchmark_transport.py,615,function,_probe_ip,52b1e12a412f5f1a4faac39e8548c9b351c48c52fc44ac3513b347b313ab1e36,BASE04;JJ005
JJTcpOverHttpRelayVpn-python_testing_tcp_relay,scripts/benchmark_transport.py,631,function,_suite_ipscan,52b1e12a412f5f1a4faac39e8548c9b351c48c52fc44ac3513b347b313ab1e36,BASE04;JJ005
JJTcpOverHttpRelayVpn-python_testing_tcp_relay,setup.py,26,function,_c,e0b015de747498faccdd497c5db3decad799ab19311e9cd10ed45f1a88bb5374,BASE04;JJ005
JJTcpOverHttpRelayVpn-python_testing_tcp_relay,setup.py,32,function,bold,e0b015de747498faccdd497c5db3decad799ab19311e9cd10ed45f1a88bb5374,BASE04;JJ005
JJTcpOverHttpRelayVpn-python_testing_tcp_relay,setup.py,33,function,cyan,e0b015de747498faccdd497c5db3decad799ab19311e9cd10ed45f1a88bb5374,BASE04;JJ005
JJTcpOverHttpRelayVpn-python_testing_tcp_relay,setup.py,34,function,green,e0b015de747498faccdd497c5db3decad799ab19311e9cd10ed45f1a88bb5374,BASE04;JJ005
JJTcpOverHttpRelayVpn-python_testing_tcp_relay,setup.py,35,function,yellow,e0b015de747498faccdd497c5db3decad799ab19311e9cd10ed45f1a88bb5374,BASE04;JJ005
JJTcpOverHttpRelayVpn-python_testing_tcp_relay,setup.py,36,function,red,e0b015de747498faccdd497c5db3decad799ab19311e9cd10ed45f1a88bb5374,BASE04;JJ005
