donor,path,sha256,size_bytes,file_type,classification,language,authority_status,semantic_record_ids,notes
SenPaiScanner-main,android/app/src/main/res/values/colors.xml,3f9bfeacb855e2ea55958ad8dfcb69d1cbc492931f8a235bd111b93f3304d55a,121,file,configuration,XML,donor-evidence,S7-045,resolved-by-seventh-order-ledger
SenPaiScanner-main,android/app/src/main/res/values/strings.xml,ac6253248fca50e79bec2e4a6d922a497d41c5d64360aa2a30ecd77442877d75,1136,file,configuration,XML,donor-evidence,S7-045,resolved-by-seventh-order-ledger
SenPaiScanner-main,android/app/src/main/res/values/themes.xml,70bc2c5108ecccd8a4aea908a866e69ff86f4ba0b807c0059f786730a49843c1,156,file,configuration,XML,donor-evidence,S7-045,resolved-by-seventh-order-ledger
SenPaiScanner-main,android/app/src/main/res/xml/backup_rules.xml,173c90cbeb773e6a65b430581a85720dc5c7ddba17d543cfefe3d2aed9b9a7a4,479,file,configuration,XML,donor-evidence,S7-045,resolved-by-seventh-order-ledger
SenPaiScanner-main,android/app/src/main/res/xml/data_extraction_rules.xml,30ae995624fd57d839bf0d638900f8d2c17c703d6e7d6c8640708a8a7cac2402,552,file,configuration,XML,donor-evidence,S7-045,resolved-by-seventh-order-ledger
SenPaiScanner-main,android/app/src/test/java/com/matinsenpai/senpaiscanner/ui/main/MainViewModelTest.kt,7f6f683b75a35bc104c5d913518ff5f9a121f6b7e30eec67a9bd52f913fe68df,1060,file,test,Kotlin,donor-evidence,S7-042,resolved-by-seventh-order-ledger
SenPaiScanner-main,android/build.gradle.kts,432ce5820bca46b9d91ddff8cb8dde64ea26b455b637e96c3e0f059cfeeb4f56,271,file,implementation,Kotlin,donor-evidence,S7-045,resolved-by-seventh-order-ledger
SenPaiScanner-main,android/build_go_mobile.bat,a7b801c3e9ff4ea79f460c57d16b58cf4d7af899a4316dcbfbd69d3e43a5913e,787,file,script,other,donor-evidence,S7-045,resolved-by-seventh-order-ledger
SenPaiScanner-main,android/build_go_mobile.sh,597545aa855554887d35089b36952aa72a2db60968c7f7d76802fcbce411675a,732,file,script,Shell,donor-evidence,S7-045,resolved-by-seventh-order-ledger
SenPaiScanner-main,android/gradle/libs.versions.toml,ccd194cc358fea98b58986b09db87037e0144bbd3ea0b338de3b7669d3f28127,3237,file,configuration,TOML,donor-evidence,S7-045,resolved-by-seventh-order-ledger
SenPaiScanner-main,android/gradle/wrapper/gradle-wrapper.jar,381dff8aa434499aa93bc25572b049c8c586a67faff2c02f375e4f23e17e49de,54329,file,other,other,donor-evidence,S7-045,resolved-by-seventh-order-ledger
SenPaiScanner-main,android/gradle/wrapper/gradle-wrapper.properties,42bc80546f2979857efc20b23ede63b1c5a20478aef5a5c7b89ca66fb46fc786,339,file,configuration,other,donor-evidence,S7-045,resolved-by-seventh-order-ledger
SenPaiScanner-main,android/gradle.properties,3e2a08f6ddaea24aac70dfce7f069eb0aa3edee3103d6cc3479653552e949c75,1662,file,configuration,other,donor-evidence,S7-045,resolved-by-seventh-order-ledger
SenPaiScanner-main,android/gradlew,8c4c04dd98db1f00d49456dd162418a39312c5cb13d6865d783deb483bd1ed22,5296,file,other,other,donor-evidence,S7-045,resolved-by-seventh-order-ledger
SenPaiScanner-main,android/gradlew.bat,2f18fc6abd50803de7b3a225038d284268904c9d13caa6cf81f99365dc876479,2176,file,script,other,donor-evidence,S7-045,resolved-by-seventh-order-ledger
SenPaiScanner-main,android/settings.gradle.kts,92ed328771eae1165654eaaad28be075e59d110d58b6a0e414cd2574fae159cb,830,file,implementation,Kotlin,donor-evidence,S7-045,resolved-by-seventh-order-ledger
SenPaiScanner-main,build.ps1,3927d6f86055c99710ea56ee2e1f702ea537e866eff95a38389d351de9a03471,3136,file,script,PowerShell,donor-evidence,S7-046,resolved-by-seventh-order-ledger
SenPaiScanner-main,cmd/senpaiscanner/main.go,de5a526470284fcb584df377f5d45296a8515d2ed2450c7d78e8ab2043557d70,727,file,implementation,Go,donor-evidence,S7-042,resolved-by-seventh-order-ledger
SenPaiScanner-main,desktop/app.go,8765394ac37adc9514c31fa13c50a7740df103302e1a70424ec78c93f739ee9f,25323,file,implementation,Go,donor-evidence,S7-046,resolved-by-seventh-order-ledger
SenPaiScanner-main,desktop/app_test.go,7608760004d6ce35f414290fdc138d58215c51e0d76ff3499d6c4c3d5e1e2e80,1445,file,test,Go,donor-evidence,S7-046,resolved-by-seventh-order-ledger
SenPaiScanner-main,desktop/build/appicon.png,e7fb3f2ee710945168495a1d84f9ce9cff6818aac3147b4c1f3e94438a2d1b0e,1665008,file,media,other,donor-evidence,S7-046,resolved-by-seventh-order-ledger
SenPaiScanner-main,desktop/build_gui.ps1,ccac23963b3798a08376e1063b0d2b6ef41e581a4a06a0be154781972467ab61,4277,file,script,PowerShell,donor-evidence,S7-046,resolved-by-seventh-order-ledger
