donor,path,change_type,previous_sha256,current_sha256
whitedns_cleanip,.idea/go-port.iml,same,af2bf573e02f9d307c457556797268e217ab49ac3c9bdd36e9bb4ae1109f85bc,af2bf573e02f9d307c457556797268e217ab49ac3c9bdd36e9bb4ae1109f85bc
whitedns_cleanip,.idea/markdown.xml,same,3879e9f85b478aef75485f6b3a3946cda34626eb69a45ecbbf9a2112bdb125a9,3879e9f85b478aef75485f6b3a3946cda34626eb69a45ecbbf9a2112bdb125a9
whitedns_cleanip,.idea/misc.xml,same,39aec4c29df50cf83fdde609a8ddd8ac443ca5d4bc8086ca99b715002c55a4d2,39aec4c29df50cf83fdde609a8ddd8ac443ca5d4bc8086ca99b715002c55a4d2
whitedns_cleanip,.idea/modules.xml,same,7a89137f077c25672c6dbebe40184980778bda3d72da7998f15f3d50dc590aa2,7a89137f077c25672c6dbebe40184980778bda3d72da7998f15f3d50dc590aa2
whitedns_cleanip,.idea/studiobot.xml,same,1373d28673f3d1286f7e90dc444b898b81b844f2b1299a7fa9635d6f25c12d76,1373d28673f3d1286f7e90dc444b898b81b844f2b1299a7fa9635d6f25c12d76
whitedns_cleanip,.idea/vcs.xml,same,6323e12648862a0a96fc0d7877672817d6cd91e2c2a3c3d78f1090db23c6e88e,6323e12648862a0a96fc0d7877672817d6cd91e2c2a3c3d78f1090db23c6e88e
whitedns_cleanip,.vscode/settings.json,same,4863b8e4164f39d9e82d455d8fd380a95b2c791b83d9fe11ccd1dec193e32951,4863b8e4164f39d9e82d455d8fd380a95b2c791b83d9fe11ccd1dec193e32951
whitedns_cleanip,IranASNs/filtered_ipv4.csv,modified,ba5ff95f9a33d1285b81527e2ed29e657dbe9ac3ae697721c61fdc56d6d16645,9efb51ff91b4ca98cf29ffced29fc04c65d195b549571870939e61a2afbd7681
whitedns_cleanip,IranASNs/filtered_ipv6.csv,modified,a87a9e7d95f2897bf5bd3874a696fe5d3dc3fb584ec8a926fa8a57d1459f425d,0aeb3b2ed12d187c5720b43475c9b03e63e05e246ed38f559017f83e00387241
whitedns_cleanip,IranASNs/iran_and_global_asns_with_ip_ranges_v2.xlsx,removed,d2ca7fd1fa93ac1c4bcdd8e93efaac1c1678500a7c303d76b3492ec1acc46d12,n/a
whitedns_cleanip,NMAP_BUNDLING.md,same,2d3066cac8ca8e37c2690598ec680266fbb68e66a1a71924df685cc73e39335d,2d3066cac8ca8e37c2690598ec680266fbb68e66a1a71924df685cc73e39335d
whitedns_cleanip,README.fa.md,modified,d9872e22dd520c13a0eb6384095e3c20d9b3a4c8171a1fa024b8e759bac106d7,a16832984106b57bf670b9c57bce18cafd4c6647aefcdc5a9fde806951b613da
whitedns_cleanip,README.md,modified,330a305623c597d6694197b5975374897ddabc1d6b61b0b2614cc8b6519c0bf6,e13c1914fd4f62505a32d696b82e219c6fa2399db4340832a3e29ff46e7dc5ff
whitedns_cleanip,android/README.md,same,2c32d99a3e797608fe097522b182a3b01866df34672f36691939d8d42c9cb441,2c32d99a3e797608fe097522b182a3b01866df34672f36691939d8d42c9cb441
