donor,path,kind,symbol,line
Nova-Proxy-App-main,core_client.go,symbol,V2RayGetConfigs,n/a
Nova-Proxy-App-main,core_client.go,symbol,V2RayAddConfig,n/a
Nova-Proxy-App-main,core_client.go,symbol,V2RayDeleteConfig,n/a
Nova-Proxy-App-main,core_client.go,symbol,V2RaySelectConfig,n/a
Nova-Proxy-App-main,core_client.go,symbol,V2RayClearConfigs,n/a
Nova-Proxy-App-main,core_client.go,symbol,V2RayGetSelectedConfig,n/a
Nova-Proxy-App-main,core_client.go,symbol,V2RayStartCore,n/a
Nova-Proxy-App-main,core_client.go,symbol,V2RayStopCore,n/a
Nova-Proxy-App-main,core_client.go,symbol,V2RayGetSettings,n/a
Nova-Proxy-App-main,core_client.go,symbol,V2RaySaveSettings,n/a
Nova-Proxy-App-main,core_client.go,symbol,SwitchMode,n/a
Nova-Proxy-App-main,core_client.go,symbol,GetRoutingMode,n/a
Nova-Proxy-App-main,core_client.go,symbol,sameExecutable,n/a
Nova-Proxy-App-main,core_client.go,symbol,coreClient,n/a
Nova-Proxy-App-main,core_client.go,symbol,RouteEvent,n/a
Nova-Proxy-App-main,core_client.go,symbol,RouteEventsReply,n/a
Nova-Proxy-App-main,core_client_other.go,symbol,startCoreProcess,n/a
Nova-Proxy-App-main,core_client_windows.go,symbol,startCoreProcess,n/a
Nova-Proxy-App-main,core_markers.go,symbol,writeCoreMarker,n/a
Nova-Proxy-App-main,core_markers.go,symbol,markerDetail,n/a
Nova-Proxy-App-main,core_runtime.go,symbol,newCoreRuntime,n/a
Nova-Proxy-App-main,core_runtime.go,symbol,start,n/a
Nova-Proxy-App-main,core_runtime.go,symbol,shutdown,n/a
Nova-Proxy-App-main,core_runtime.go,symbol,reloadConfig,n/a
Nova-Proxy-App-main,core_runtime.go,symbol,reloadCertificate,n/a
Nova-Proxy-App-main,core_runtime.go,symbol,setupLogger,n/a
Nova-Proxy-App-main,core_runtime.go,symbol,appendLog,n/a
Nova-Proxy-App-main,core_runtime.go,symbol,isLogCaptureEnabled,n/a
Nova-Proxy-App-main,core_runtime.go,symbol,startLogCapture,n/a
Nova-Proxy-App-main,core_runtime.go,symbol,stopLogCapture,n/a
Nova-Proxy-App-main,core_runtime.go,symbol,recentLogs,n/a
Nova-Proxy-App-main,core_runtime.go,symbol,clearLogs,n/a
Nova-Proxy-App-main,core_runtime.go,symbol,startProxy,n/a
Nova-Proxy-App-main,core_runtime.go,symbol,switchMode,n/a
Nova-Proxy-App-main,core_runtime.go,symbol,getCurrentMode,n/a
