donor,path,sha256,size_bytes,classification,authority_status,language,semantic_record_ids,resolution,notes
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/dto/CheckUpdateResult.kt,c61c0e35ef710401d37aa4c28e706e31d042c0fc4ad3b46771a47001b9397184,269,implementation,authoritative,kotlin,TW-SEM033,resolved-by-third-wave-ledger,exhaustively inventoried
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/dto/ConfigResult.kt,7d7983173b36698afdc79bb3acbc87748b2c12aaf5f0a050b2d83adf7604ec3d,175,implementation,authoritative,kotlin,TW-SEM033,resolved-by-third-wave-ledger,exhaustively inventoried
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/dto/CoreConfigContext.kt,0879af930cf26b15b62a8d6db359cc4dbf8cbc8b1397e0e2317cb1a53152f848,699,implementation,authoritative,kotlin,TW-SEM033,resolved-by-third-wave-ledger,exhaustively inventoried
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/dto/GitHubRelease.kt,08df915f4ba2fcef5265fb45eea50445146d4b5785476334bca0f822322ce04c,588,implementation,authoritative,kotlin,TW-SEM033,resolved-by-third-wave-ledger,exhaustively inventoried
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/dto/GroupMapItem.kt,1d93af39faeee67ad38c374d198a2b8640c160a18b4e6f14ac928c7e409e085d,98,implementation,authoritative,kotlin,TW-SEM033,resolved-by-third-wave-ledger,exhaustively inventoried
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/dto/IPAPIInfo.kt,b7dde6aec1f3a04a1da819fc860b22b835957ee055f21b8af5626e23448602df,441,implementation,authoritative,kotlin,TW-SEM033,resolved-by-third-wave-ledger,exhaustively inventoried
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/dto/LocateTarget.kt,5b46ef78293ef753f16f3654a4595430801be17e47b94d9bfd1e12041e9a65a1,129,implementation,authoritative,kotlin,TW-SEM033,resolved-by-third-wave-ledger,exhaustively inventoried
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/dto/OutboundTrafficStat.kt,93522b5ab2bdc3957e12e6c11772744ffe1d200646ff67f861816d67b0da2e89,129,implementation,authoritative,kotlin,TW-SEM033,resolved-by-third-wave-ledger,exhaustively inventoried
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/dto/RealPingEvent.kt,147204d1a76721f4e784fcbe37ef30b70629dbb39d77ca34016a05dd37f22fcf,441,implementation,authoritative,kotlin,TW-SEM033,resolved-by-third-wave-ledger,exhaustively inventoried
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/dto/SubscriptionUpdateMessage.kt,fee335332034a0bc683b7f32e973ea5dd3e74fc36ed708c7019f69a963ba0ff3,200,implementation,authoritative,kotlin,TW-SEM033,resolved-by-third-wave-ledger,exhaustively inventoried
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/dto/SubscriptionUpdateResult.kt,12f318623fb0b220a3753f19ff275008a2a29709891c42031e1dee9b4152d58d,856,implementation,authoritative,kotlin,TW-SEM033,resolved-by-third-wave-ledger,exhaustively inventoried
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/dto/TestServiceMessage.kt,a13f12e5956e21bf9b7510315a6f107c6293133b090d7f87f0679697c0c50b9a,242,test,authoritative,kotlin,TW-SEM033,resolved-by-third-wave-ledger,exhaustively inventoried
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/dto/UrlContentRequest.kt,05c256b9605032ed4fb59ab7e45f2f8e1ca7700109185d597b613238527b91e9,289,implementation,authoritative,kotlin,TW-SEM033,resolved-by-third-wave-ledger,exhaustively inventoried
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/dto/V2rayConfig.kt,5218ac7fad8deca26d0f7f8ae48b536a67efa41a80a3c286b551a971c75e347c,16560,implementation,authoritative,kotlin,TW-SEM033,resolved-by-third-wave-ledger,exhaustively inventoried
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/dto/V2rayNShareItem.kt,393d7e2f50c512136b898f0dafefe2ba169f9b79add627fa24dba0a4111bec87,6535,implementation,authoritative,kotlin,TW-SEM033,resolved-by-third-wave-ledger,exhaustively inventoried
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/dto/VmessQRCode.kt,b6f5fda60e0d310fbdf51c8e01f6e4fcd2c640b5a0ab6e0bcd532312ed48cd62,550,implementation,authoritative,kotlin,TW-SEM033,resolved-by-third-wave-ledger,exhaustively inventoried
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/dto/entities/AssetUrlCache.kt,1e5d1d4a96284f3ec58f8a34077c6cbb0ac604a57fc33558e247304497f44071,116,implementation,authoritative,kotlin,TW-SEM033,resolved-by-third-wave-ledger,exhaustively inventoried
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/dto/entities/AssetUrlItem.kt,bc2a870d0e8b44078b3e951d7e0c77c936043c785a70361ee282cff3e0d7f373,238,implementation,authoritative,kotlin,TW-SEM033,resolved-by-third-wave-ledger,exhaustively inventoried
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/dto/entities/ProfileItem.kt,b0a230e141264d370847b5264c4e5240107671e10d967bd6ff08e0a6b40bb7a6,3341,implementation,authoritative,kotlin,TW-SEM033,resolved-by-third-wave-ledger,exhaustively inventoried
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/dto/entities/RulesetItem.kt,89e4804990c6dc694b6911f7122bbf17f751085ae07924f3b03cd7289ae98b61,432,implementation,authoritative,kotlin,TW-SEM033,resolved-by-third-wave-ledger,exhaustively inventoried
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/dto/entities/ServerAffiliationInfo.kt,409de1ff87b54be067911761ebb6f3c0623a4b64586b6923d1651a48b193aee4,267,implementation,authoritative,kotlin,TW-SEM033,resolved-by-third-wave-ledger,exhaustively inventoried
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/dto/entities/ServersCache.kt,8490ddadb755a07f85d6403fdde0775edd35b05b6b0ba1d6507ddcfdab3614bb,189,implementation,authoritative,kotlin,TW-SEM033,resolved-by-third-wave-ledger,exhaustively inventoried
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/dto/entities/SubscriptionCache.kt,c399068990967e4f82d2e2126ee1008698a716f99950796bb6923ebdd28ea766,128,implementation,authoritative,kotlin,TW-SEM033,resolved-by-third-wave-ledger,exhaustively inventoried
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/dto/entities/SubscriptionItem.kt,87517cd02059a6638d8b19f251d2d8c6fcd2056b97a2fa54d431020e383f1e65,576,implementation,authoritative,kotlin,TW-SEM033,resolved-by-third-wave-ledger,exhaustively inventoried
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/dto/entities/WebDavConfig.kt,392dca84f859e55d476898b3c004ba8ec8549207fa659f622da92364adb320f5,227,implementation,authoritative,kotlin,TW-SEM033,resolved-by-third-wave-ledger,exhaustively inventoried
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/enums/BalancerStrategyType.kt,d4d100c31292deb4ba37720e2694a5ae5e5591029a13d057de201406b7822559,1272,implementation,authoritative,kotlin,TW-SEM033,resolved-by-third-wave-ledger,exhaustively inventoried
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/enums/BrowserDialerMode.kt,519d0e2a22ebfe34c65f5395ed67ac89ecc10c081e836faf558497c1758e9229,247,implementation,authoritative,kotlin,TW-SEM033,resolved-by-third-wave-ledger,exhaustively inventoried
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/enums/CoreResolvedType.kt,200ffb81dde43f96d6ead7a853069a876cc50d56591cc8b2e93a94f789ff8950,159,implementation,authoritative,kotlin,TW-SEM033,resolved-by-third-wave-ledger,exhaustively inventoried
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/enums/EConfigType.kt,fb3f88ade71b1f9b17c8c650defba68edea0fbafc5385b0312aeb471caadb7c8,701,implementation,authoritative,kotlin,TW-SEM033,resolved-by-third-wave-ledger,exhaustively inventoried
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/enums/Language.kt,b3faf6b11e2e73a4e54b5555e05b1848596669c498ec2027a689c0d1662acccd,1670,implementation,authoritative,kotlin,TW-SEM033,resolved-by-third-wave-ledger,exhaustively inventoried
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/enums/NetworkType.kt,c80d30bf012136d82ec74f18e382b447130bf167c20eee7f94553413c2ab4515,380,implementation,authoritative,kotlin,TW-SEM033,resolved-by-third-wave-ledger,exhaustively inventoried
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/enums/NotificationChannelType.kt,978740022a47806f85f5ad4c9071e8636c0b46831a1689544b1af8deb8cbc2db,583,implementation,authoritative,kotlin,TW-SEM033,resolved-by-third-wave-ledger,exhaustively inventoried
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/enums/PermissionType.kt,d5c0233716ff05a82df6bad0d2bdc852836bd252928d62b87e5b5c4fa512bb56,1341,implementation,authoritative,kotlin,TW-SEM033,resolved-by-third-wave-ledger,exhaustively inventoried
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/enums/RoutingType.kt,1ffd2358e6f05cd84ea391c244ad7f0dfd1e38b6c6fb79b77d3a8cdefc60b6b7,278,implementation,authoritative,kotlin,TW-SEM033,resolved-by-third-wave-ledger,exhaustively inventoried
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/enums/VpnInterfaceAddressConfig.kt,898fde424b98dc2a89c6c9c015712cd1ce2ea6b5e37da406bc4af929e6dad454,1792,implementation,authoritative,kotlin,TW-SEM033,resolved-by-third-wave-ledger,exhaustively inventoried
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/extension/ListExt.kt,23927236bd542562aed4e613ffd14668c727a23c34d2137e07e3302f7a7c9a63,364,implementation,authoritative,kotlin,TW-SEM033,resolved-by-third-wave-ledger,exhaustively inventoried
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/extension/StringExt.kt,676315cc4d90a9d0335d42abfc136329491bad70d7dc21722c88d7ce80664f08,1428,implementation,authoritative,kotlin,TW-SEM033,resolved-by-third-wave-ledger,exhaustively inventoried
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/extension/ToastExt.kt,cbe81e52ae47d67fc0f592a5fa4c78b89925d7671088090ab413b73a0bafeae7,3163,implementation,authoritative,kotlin,TW-SEM033,resolved-by-third-wave-ledger,exhaustively inventoried
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/extension/_Ext.kt,35bc8a7d96597b10d3892a651f86b4a87ed235194e1a46213c557e3e172dc36d,2426,implementation,authoritative,kotlin,TW-SEM033,resolved-by-third-wave-ledger,exhaustively inventoried
