donor,path,sha256,symbol,line,signature,language,symbol_id,semantic_record_ids,resolution
SenPaiScanner-main,android/app/src/main/java/com/matinsenpai/senpaiscanner/ui/main/ExportScreen.kt,b09baed522669d90a0e615c8fda82d298656da6cd5b1dcd7a5c07797d769f71a,healthyEndpoints,47,"healthyEndpoints(uiState.results).joinToString(""\n"") { ""${it.ip}:${it.port}"" }",Kotlin,S7-SYM-00039,S7-042,resolved-by-seventh-order-ledger
SenPaiScanner-main,android/app/src/main/java/com/matinsenpai/senpaiscanner/ui/main/ExportScreen.kt,b09baed522669d90a0e615c8fda82d298656da6cd5b1dcd7a5c07797d769f71a,healthyEndpoints,50,"healthyEndpoints(uiState.results, 20).joinToString(""\n"") { ""${it.ip}:${it.port}"" }",Kotlin,S7-SYM-00040,S7-042,resolved-by-seventh-order-ledger
SenPaiScanner-main,android/app/src/main/java/com/matinsenpai/senpaiscanner/ui/main/ExportScreen.kt,b09baed522669d90a0e615c8fda82d298656da6cd5b1dcd7a5c07797d769f71a,DeskPanel,60,"DeskPanel(""RAW ENDPOINTS"", ""Copy or share live scan data"") {",Kotlin,S7-SYM-00041,S7-042,resolved-by-seventh-order-ledger
SenPaiScanner-main,android/app/src/main/java/com/matinsenpai/senpaiscanner/ui/main/ExportScreen.kt,b09baed522669d90a0e615c8fda82d298656da6cd5b1dcd7a5c07797d769f71a,Row,66,Row(horizontalArrangement = Arrangement.spacedBy(8.dp)) {,Kotlin,S7-SYM-00042,S7-042,resolved-by-seventh-order-ledger
SenPaiScanner-main,android/app/src/main/java/com/matinsenpai/senpaiscanner/ui/main/ExportScreen.kt,b09baed522669d90a0e615c8fda82d298656da6cd5b1dcd7a5c07797d769f71a,DeskPanel,93,"DeskPanel(""CLIENT CONFIGS"", ""$passedCount speed-tested endpoints"") {",Kotlin,S7-SYM-00043,S7-042,resolved-by-seventh-order-ledger
SenPaiScanner-main,android/app/src/main/java/com/matinsenpai/senpaiscanner/ui/main/ExportScreen.kt,b09baed522669d90a0e615c8fda82d298656da6cd5b1dcd7a5c07797d769f71a,if,114,if (uiState.config.configUrl.isBlank()) {,Kotlin,S7-SYM-00044,S7-042,resolved-by-seventh-order-ledger
SenPaiScanner-main,android/app/src/main/java/com/matinsenpai/senpaiscanner/ui/main/ExportScreen.kt,b09baed522669d90a0e615c8fda82d298656da6cd5b1dcd7a5c07797d769f71a,Surface,162,"Surface(color = SignalPanel, shape = RoundedCornerShape(8.dp), border = BorderStroke(1.dp, SignalBorder)) {",Kotlin,S7-SYM-00045,S7-042,resolved-by-seventh-order-ledger
SenPaiScanner-main,android/app/src/main/java/com/matinsenpai/senpaiscanner/ui/main/ExportScreen.kt,b09baed522669d90a0e615c8fda82d298656da6cd5b1dcd7a5c07797d769f71a,Column,163,"Column(Modifier.fillMaxWidth().padding(14.dp), verticalArrangement = Arrangement.spacedBy(9.dp)) {",Kotlin,S7-SYM-00046,S7-042,resolved-by-seventh-order-ledger
SenPaiScanner-main,android/app/src/main/java/com/matinsenpai/senpaiscanner/ui/main/ExportScreen.kt,b09baed522669d90a0e615c8fda82d298656da6cd5b1dcd7a5c07797d769f71a,Column,165,Column(Modifier.weight(1f)) {,Kotlin,S7-SYM-00047,S7-042,resolved-by-seventh-order-ledger
SenPaiScanner-main,android/app/src/main/java/com/matinsenpai/senpaiscanner/ui/main/ExportScreen.kt,b09baed522669d90a0e615c8fda82d298656da6cd5b1dcd7a5c07797d769f71a,shareText,188,"private fun shareText(context: android.content.Context, title: String, text: String) {",Kotlin,S7-SYM-00048,S7-042,resolved-by-seventh-order-ledger
SenPaiScanner-main,android/app/src/main/java/com/matinsenpai/senpaiscanner/ui/main/MainViewModel.kt,7debfa7e0d4db4a93579483042a2663df0c035be9e0e0429f5350b57ea1d556d,ScanConfig,19,data class ScanConfig(,Kotlin,S7-SYM-00049,S7-042,resolved-by-seventh-order-ledger
SenPaiScanner-main,android/app/src/main/java/com/matinsenpai/senpaiscanner/ui/main/MainViewModel.kt,7debfa7e0d4db4a93579483042a2663df0c035be9e0e0429f5350b57ea1d556d,IpResult,41,data class IpResult(,Kotlin,S7-SYM-00050,S7-042,resolved-by-seventh-order-ledger
SenPaiScanner-main,android/app/src/main/java/com/matinsenpai/senpaiscanner/ui/main/MainViewModel.kt,7debfa7e0d4db4a93579483042a2663df0c035be9e0e0429f5350b57ea1d556d,ExportBundle,56,data class ExportBundle(,Kotlin,S7-SYM-00051,S7-042,resolved-by-seventh-order-ledger
SenPaiScanner-main,android/app/src/main/java/com/matinsenpai/senpaiscanner/ui/main/MainViewModel.kt,7debfa7e0d4db4a93579483042a2663df0c035be9e0e0429f5350b57ea1d556d,MetaResponse,65,data class MetaResponse(,Kotlin,S7-SYM-00052,S7-042,resolved-by-seventh-order-ledger
