sha256,count,refs
d7c4dc6718f41a67e7fc03d53a4f6425406fd09ccb10850cb274551b5b9c3f63,5,Xray-core-main:transport/internet/filelocker_windows.go;Xray-tun-main:transport/internet/filelocker_windows.go;v2ray-core-main:transport/internet/filelocker_windows.go;v2ray-core-master:transport/internet/filelocker_windows.go;v2ray-go-main:transport/internet/filelocker_windows.go
e2080673039682744915ff9a1bd47681d96b38a67f3b2b902609c87d99dc20bf,5,Xray-core-main:features/policy/default.go;Xray-tun-main:features/policy/default.go;v2ray-core-main:features/policy/default.go;v2ray-core-master:features/policy/default.go;v2ray-go-main:features/policy/default.go
e5aa99f766b97481498dae28de05c25cd695ae8535d8caf62ccec22f528dadaa,5,Xray-core-main:transport/internet/filelocker.go;Xray-tun-main:transport/internet/filelocker.go;v2ray-core-main:transport/internet/filelocker.go;v2ray-core-master:transport/internet/filelocker.go;v2ray-go-main:transport/internet/filelocker.go
0414d4b26cab725ef45fd9ece8fdf66597683202e6d6b08b3f3dc8dcae7a6752,4,Xray-core-main:common/buf/data/test_MultiBufferReadAllToByte.dat;Xray-tun-main:common/buf/data/test_MultiBufferReadAllToByte.dat;v2ray-core-main:common/buf/data/test_MultiBufferReadAllToByte.dat;v2ray-core-master:common/buf/data/test_MultiBufferReadAllToByte.dat
04cf7bbb0c03e834ba9d2a8b1cfd413fde7d1b4c5f28367beb1cf2bd1492b3b2,4,Xray-tun-main:common/serial/serial.go;v2ray-core-main:common/serial/serial.go;v2ray-core-master:common/serial/serial.go;v2ray-go-main:common/serial/serial.go
0643d0db0e99701bf08a0edff15ede2b0075c0bce20421bcdfedc4e0ce0f0ae0,4,Xray-core-main:features/extension/contextreceiver.go;v2ray-core-main:features/extension/contextreceiver.go;v2ray-core-master:features/extension/contextreceiver.go;v2ray-go-main:features/extension/contextreceiver.go
08932f83cfcacbcd233b59343f83d72589f64cf1f8320e73f3754214866824d2,4,Xray-tun-main:transport/internet/kcp/xor_amd64.go;v2ray-core-main:transport/internet/kcp/xor_amd64.go;v2ray-core-master:transport/internet/kcp/xor_amd64.go;v2ray-go-main:transport/internet/kcp/xor_amd64.go
0db8cb49c4c6f87cfe746911bd8ee9fba2781b7958e2dde1808c3d26760411f5,4,v2ray-core-main:proxy/http/http.go;v2ray-core-main:transport/internet/http/http.go;v2ray-core-master:proxy/http/http.go;v2ray-core-master:transport/internet/http/http.go
0dd053c477757f00189d8d02e81abe41ae1239d167b99a4b14639c72b138fca0,4,Xray-core-main:proxy/vmess/aead/encrypt_test.go;v2ray-core-main:proxy/vmess/aead/encrypt_test.go;v2ray-core-master:proxy/vmess/aead/encrypt_test.go;v2ray-go-main:proxy/vmess/aead/encrypt_test.go
1dedc6ede711da380266b4f8f288c3fdaa44708f0a22e3ecbecf29fea038e408,4,Xray-tun-main:common/protocol/account.go;v2ray-core-main:common/protocol/account.go;v2ray-core-master:common/protocol/account.go;v2ray-go-main:common/protocol/account.go
29bb1ff5be72cdac690e2882fc2fb17d5febf67553a8bb1322da76761fbdb1c5,4,Xray-tun-main:common/protocol/tls/cert/.gitignore;v2ray-core-main:common/protocol/tls/cert/.gitignore;v2ray-core-master:common/protocol/tls/cert/.gitignore;v2ray-go-main:common/protocol/tls/cert/.gitignore
2f10c0fc51c87e3cc6c5c610bc6b3b6575df6ef977aec6a2d611f9f8d15752ae,4,Xray-core-main:app/stats/counter.go;Xray-tun-main:app/stats/counter.go;v2ray-core-main:app/stats/counter.go;v2ray-core-master:app/stats/counter.go
5ac439f4c0dd474c50a1bf5e2436e7d6a0cbda9dfcf6f036b169dae475256020,4,Xray-core-main:common/crypto/internal/chacha_core_gen.go;v2ray-core-main:common/crypto/internal/chacha_core_gen.go;v2ray-core-master:common/crypto/internal/chacha_core_gen.go;v2ray-go-main:common/crypto/internal/chacha_core_gen.go
5b9a7cd8de4c853388e6bd6f5c1c6047a0dfe98da5161acd211907a6559e353b,4,Xray-core-main:common/crypto/internal/chacha_core.generated.go;v2ray-core-main:common/crypto/internal/chacha_core.generated.go;v2ray-core-master:common/crypto/internal/chacha_core.generated.go;v2ray-go-main:common/crypto/internal/chacha_core.generated.go
60972df9e5536d455a6d87552ddf538ee7c0184ab4aa5d6ef66a3a2759e4e779,4,Xray-core-main:main/commands/base/root.go;Xray-tun-main:main/commands/base/root.go;v2ray-core-main:main/commands/base/root.go;v2ray-core-master:main/commands/base/root.go
8988fb06df56fbf7719c50ffce2ba3e1baa8796aec75c68dee5a42f916a01f40,4,Xray-core-main:main/main_test.go;v2ray-core-main:main/main_test.go;v2ray-core-master:main/main_test.go;v2ray-go-main:main/main_test.go
a45344e1bb92adcb956466f070619af3595d930b720ab3c7367120d60f1f4fe3,4,Xray-tun-main:common/protocol/server_picker.go;v2ray-core-main:common/protocol/server_picker.go;v2ray-core-master:common/protocol/server_picker.go;v2ray-go-main:common/protocol/server_picker.go
ba76065cda93358140640e5bd77d453a035816aca38adf5ab8133a3d5bf95f36,4,v2ray-core-main:features/stats/errors.generated.go;v2ray-core-main:app/stats/errors.generated.go;v2ray-core-master:features/stats/errors.generated.go;v2ray-core-master:app/stats/errors.generated.go
cbccf667bb01a30b242bdbf2af1e869aa698ea40a1a40ffe5ac63ff3fa07e9cd,4,Xray-core-main:proxy/vless/inbound/config.go;Xray-tun-main:proxy/vless/inbound/config.go;v2ray-core-main:proxy/vless/inbound/config.go;v2ray-core-master:proxy/vless/inbound/config.go
ce9d774a810088ea7ebe1a83774f02ff1b13adfb98083a60a4926b1a5fe4f622,4,Xray-tun-main:common/serial/string.go;v2ray-core-main:common/serial/string.go;v2ray-core-master:common/serial/string.go;v2ray-go-main:common/serial/string.go
e9bbd0da2f343b64f5fc84799217203a4304e2240d43058485d916da8316bd23,4,Xray-tun-main:proxy/vmess/vmessCtxInterface.go;v2ray-core-main:proxy/vmess/vmessCtxInterface.go;v2ray-core-master:proxy/vmess/vmessCtxInterface.go;v2ray-go-main:proxy/vmess/vmessCtxInterface.go
ed53c4d1c60f3ee535202aa0ea7abf8a78fdf341354571a9462974ce1b2ca916,4,Xray-core-main:common/buf/readv_unix.go;v2ray-core-main:common/buf/readv_unix.go;v2ray-core-master:common/buf/readv_unix.go;v2ray-go-main:common/buf/readv_unix.go
f53b534e9c19fb45f89e5e67807173c619afa70aec123812bba5833a6feae6af,4,Xray-tun-main:transport/internet/memory_settings.go;v2ray-core-main:transport/internet/memory_settings.go;v2ray-core-master:transport/internet/memory_settings.go;v2ray-go-main:transport/internet/memory_settings.go
f56041febfd3b8f994166478ceeeb73a3083eb5e02f7bfd9032ff8e783a3945b,4,Xray-core-main:proxy/trojan/trojan.go;v2ray-core-main:proxy/trojan/trojan.go;v2ray-core-master:proxy/trojan/trojan.go;v2ray-go-main:proxy/trojan/trojan.go
f82ff242fda368533732efadd2f499b881e7741fa23151a10a34060057e788ac,4,Xray-core-main:proxy/vmess/inbound/config.go;Xray-tun-main:proxy/vmess/inbound/config.go;v2ray-core-main:proxy/vmess/inbound/config.go;v2ray-core-master:proxy/vmess/inbound/config.go
f9cb157b366a51f3e176dd1bb8d63b7ffc6df595f34cfe914ba4c76364fd9d29,4,v2ray-core-main:app/router/errors.generated.go;v2ray-core-main:infra/conf/synthetic/router/errors.generated.go;v2ray-core-master:app/router/errors.generated.go;v2ray-core-master:infra/conf/synthetic/router/errors.generated.go
fda6615b46352d789da690c5a164efd1e642644be31fa8304d6d6b2c1174e7d1,4,Xray-tun-main:proxy/freedom/config.go;v2ray-core-main:proxy/freedom/config.go;v2ray-core-master:proxy/freedom/config.go;v2ray-go-main:proxy/freedom/config.go
