wave,donor,directory,direct_files,direct_dirs
post-refactor-4d,geospoof-main,src/background,19,0
post-refactor-4d,geospoof-main,src/content,1,1
post-refactor-4d,geospoof-main,src/content/injected,21,0
post-refactor-4d,geospoof-main,src/popup,12,0
post-refactor-4d,geospoof-main,src/shared,2,3
post-refactor-4d,geospoof-main,src/shared/accuracy,2,0
post-refactor-4d,geospoof-main,src/shared/types,5,0
post-refactor-4d,geospoof-main,src/shared/utils,4,0
post-refactor-4d,geospoof-main,src/types,4,0
post-refactor-4d,geospoof-main,tests,2,5
post-refactor-4d,geospoof-main,tests/helpers,3,0
post-refactor-4d,geospoof-main,tests/integration,6,0
post-refactor-4d,geospoof-main,tests/manual,1,0
post-refactor-4d,geospoof-main,tests/property,41,0
post-refactor-4d,geospoof-main,tests/unit,5,4
post-refactor-4d,geospoof-main,tests/unit/background,19,0
post-refactor-4d,geospoof-main,tests/unit/content,11,0
post-refactor-4d,geospoof-main,tests/unit/popup,7,0
post-refactor-4d,geospoof-main,tests/unit/shared,4,0
post-refactor-4d,i2p.i2p-master,.github,1,1
post-refactor-4d,i2p.i2p-master,.github/workflows,7,0
post-refactor-4d,i2p.i2p-master,.tx,1,0
post-refactor-4d,i2p.i2p-master,Slackware,1,1
post-refactor-4d,i2p.i2p-master,Slackware/i2p,7,0
post-refactor-4d,i2p.i2p-master,apps,0,16
post-refactor-4d,i2p.i2p-master,apps/addressbook,2,1
post-refactor-4d,i2p.i2p-master,apps/addressbook/java,0,2
post-refactor-4d,i2p.i2p-master,apps/addressbook/java/src,0,1
post-refactor-4d,i2p.i2p-master,apps/addressbook/java/src/net,0,2
post-refactor-4d,i2p.i2p-master,apps/addressbook/java/src/net/i2p,0,2
post-refactor-4d,i2p.i2p-master,apps/addressbook/java/src/net/i2p/addressbook,13,0
post-refactor-4d,i2p.i2p-master,apps/addressbook/java/src/net/i2p/router,0,1
post-refactor-4d,i2p.i2p-master,apps/addressbook/java/src/net/i2p/router/naming,2,0
post-refactor-4d,i2p.i2p-master,apps/addressbook/java/src/net/metanotion,3,2
post-refactor-4d,i2p.i2p-master,apps/addressbook/java/src/net/metanotion/io,3,2
post-refactor-4d,i2p.i2p-master,apps/addressbook/java/src/net/metanotion/io/block,2,1
post-refactor-4d,i2p.i2p-master,apps/addressbook/java/src/net/metanotion/io/block/index,5,0
post-refactor-4d,i2p.i2p-master,apps/addressbook/java/src/net/metanotion/io/data,4,0
post-refactor-4d,i2p.i2p-master,apps/addressbook/java/src/net/metanotion/util,0,1
post-refactor-4d,i2p.i2p-master,apps/addressbook/java/src/net/metanotion/util/skiplist,4,0
post-refactor-4d,i2p.i2p-master,apps/addressbook/java/test,0,1
post-refactor-4d,i2p.i2p-master,apps/addressbook/java/test/junit,0,1
post-refactor-4d,i2p.i2p-master,apps/addressbook/java/test/junit/net,0,1
post-refactor-4d,i2p.i2p-master,apps/addressbook/java/test/junit/net/i2p,0,1
post-refactor-4d,i2p.i2p-master,apps/addressbook/java/test/junit/net/i2p/router,0,1
post-refactor-4d,i2p.i2p-master,apps/addressbook/java/test/junit/net/i2p/router/naming,1,0
post-refactor-4d,i2p.i2p-master,apps/desktopgui,6,3
post-refactor-4d,i2p.i2p-master,apps/desktopgui/images,2,0
post-refactor-4d,i2p.i2p-master,apps/desktopgui/locale,43,0
post-refactor-4d,i2p.i2p-master,apps/desktopgui/src,0,1
post-refactor-4d,i2p.i2p-master,apps/desktopgui/src/net,0,1
post-refactor-4d,i2p.i2p-master,apps/desktopgui/src/net/i2p,0,1
post-refactor-4d,i2p.i2p-master,apps/desktopgui/src/net/i2p/desktopgui,6,2
post-refactor-4d,i2p.i2p-master,apps/desktopgui/src/net/i2p/desktopgui/i18n,1,0
post-refactor-4d,i2p.i2p-master,apps/desktopgui/src/net/i2p/desktopgui/router,1,0
post-refactor-4d,i2p.i2p-master,apps/i2pcontrol,3,1
post-refactor-4d,i2p.i2p-master,apps/i2pcontrol/java,0,3
